ANIO,ID_MES,TRANSPORTE,VARIABLE,ID_ENTIDAD,ID_MUNICIPIO,VALOR,ESTATUS
1986,	01,Red de Transporte de Pasajeros,Autobuses en operación de lunes a viernes,	09,	999,4201,Cifras Definitivas
1986,	01,Red de Transporte de Pasajeros,Autobuses en operación de sábado a domingo,	09,	999,2601,Cifras Definitivas
1986,	01,Red de Transporte de Pasajeros,Kilómetros recorridos,	09,	999,27199400,Cifras Definitivas
1986,	01,Red de Transporte de Pasajeros,Pasajeros transportados,	09,	999,172000400,Cifras Definitivas
1986,	01,Red de Transporte de Pasajeros,Personal ocupado,	09,	999,22451,Cifras Definitivas
1986,	01,Red de Transporte de Pasajeros,Rutas,	09,	999,219,Cifras Definitivas
1986,	01,Sistema de Transporte Colectivo Metro,Energía eléctrica consumida,	09,	999,60786000,Cifras Definitivas
1986,	01,Sistema de Transporte Colectivo Metro,Kilómetros recorridos,	09,	999,2126600,Cifras Definitivas
1986,	01,Sistema de Transporte Colectivo Metro,Longitud de servicio,	09,	999,115,Cifras Definitivas
1986,	01,Sistema de Transporte Colectivo Metro,Pasajeros transportados,	09,	999,110245300,Cifras Definitivas
1986,	01,Sistema de Transporte Colectivo Metro,Trenes en servicio,	09,	999,152,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Autobuses en operación de lunes a viernes,	09,	999,4229,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Autobuses en operación de sábado a domingo,	09,	999,2726,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Kilómetros recorridos,	09,	999,24698800,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Pasajeros transportados,	09,	999,161299600,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Personal ocupado,	09,	999,22483,Cifras Definitivas
1986,	02,Red de Transporte de Pasajeros,Rutas,	09,	999,220,Cifras Definitivas
1986,	02,Sistema de Transporte Colectivo Metro,Energía eléctrica consumida,	09,	999,53320000,Cifras Definitivas
1986,	02,Sistema de Transporte Colectivo Metro,Kilómetros recorridos,	09,	999,1831200,Cifras Definitivas
1986,	02,Sistema de Transporte Colectivo Metro,Longitud de servicio,	09,	999,115,Cifras Definitivas
